query,total_exec_time,prop_exec_time,ncalls,sync_io_time
SHOW transaction_read_only,00:00:00.673097,0.2%,"27,297",00:00:00
select setting from pg_config where name = $1,00:00:02.572761,0.8%,"9,099",00:00:00
SET idle_session_timeout='58s',00:00:00.01673,0.0%,"7,366",00:00:00
SET statement_timeout='58s',00:00:00.114115,0.0%,"7,366",00:00:00
SET statement_timeout='58s',00:00:00.052532,0.0%,"3,380",00:00:00
SET idle_session_timeout='58s',00:00:00.008264,0.0%,"3,380",00:00:00
"select set_config('search_path', $1, true), set_config($2, $3, true), set_config('role', $4, true), set_config('request.jwt.claims', $5, true), set_config('request.method', $6, true), set_config('request.path', $7, true), set_config('request.headers', $8, true), set_config('request.cookies', $9, true)",00:00:01.719268,0.6%,"3,243",00:00:00
"SELECT sessions.aal, sessions.created_at, sessions.factor_id, sessions.id, sessions.ip, sessions.not_after, sessions.oauth_client_id, sessions.refresh_token_counter, sessions.refresh_token_hmac_key, sessions.refreshed_at, sessions.scopes, sessions.tag, sessions.updated_at, sessions.user_agent, sessions.user_id FROM sessions AS sessions WHERE id = $1 LIMIT $2",00:00:01.248185,0.4%,"2,098",00:00:00
SET client_min_messages TO WARNING,00:00:00.018388,0.0%,"2,083",00:00:00
SET client_encoding = 'UTF8',00:00:00.026161,0.0%,"2,083",00:00:00
